2024-03-27 14:28:31: [SYSTEM] Transaction: Transfer, from: BAK1708434037S, amount: 1000.0
2024-03-27 14:30:52: [SYSTEM] Transaction: Transfer, from: BAK1708434037S to: HOU1708434041S, amount: 1000.0
2024-03-27 14:31:11: [SYSTEM] Transaction: Deposit, user: BAK1708434037S, amount: 1000.0
2024-03-27 14:44:43: [SYSTEM] Transaction: Transfer, from: BAK1708434037S to: HOU1708434041S, amount: 1000.0
2024-03-29 22:50:13: [SYSTEM] Transaction: Deposit, user: KAY1711724792S, amount: 50.0
2024-03-29 22:50:18: [SYSTEM] Transaction: Withdraw, user: KAY1711724792S, amount: 10.0
2024-03-29 22:53:14: [SYSTEM] Transaction: Withdraw, user: KAY1711724792S, amount: 5000.0
2024-03-29 22:54:56: [SYSTEM] Transaction: Deposit, user: KAY1711724792S, amount: 100000.0
2024-03-29 22:55:12: [SYSTEM] Transaction: Withdraw, user: KAY1711724792S, amount: 1000000.0
2024-03-29 22:58:31: [SYSTEM] Transaction: Withdraw, user: BAK1711725254S, amount: 2030000.0
2024-03-29 23:24:49: [SYSTEM] Transaction: Deposit, user: KAY1711724792S, amount: 5000.0
2024-03-29 23:25:09: [SYSTEM] Transaction: Transfer, from: KAY1711724792S to: BAK1711725254S, amount: 650.0
2024-03-29 23:25:26: [SYSTEM] Transaction: Withdraw, user: KAY1711724792S, amount: 50.0
2024-03-29 23:25:47: [SYSTEM] Transaction: Transfer, from: KAY1711724792S to: RAA1711725309C, amount: 300.0
